# File: NREL_Res_PV_supply_curve.csv
# Title: PV supply curve for residential buildings
# Units: Relative_Cost - Unitless
# Source: Denholm, P. & Margolis, R. Supply Curves for Rooftop Solar PV-Generated Electricity for the United States. National Renewable Energy Laboratory, Technical Report NREL / TP-6A0-44073 (2008) - www.nrel.gov
# Column types: cccnnn
# ----------
State,TMY_Site,Pitch,MW,MWh,Relative_Cost
AAA,MS Meridian,Flat,52.23051943,79763.11205,1.461023828
AAA,AL Birmingham,Flat,799.1653687,1213106.894,1.469848688
AAA,AL Huntsville,Flat,461.1473468,689293.6008,1.492693054
AAA,AL Mobile,Flat,315.597998,471587.0851,1.493163554
AAA,TN Chattanooga,Flat,49.60882309,71983.56434,1.537661076
BBB,FL Key West,Pitch S,28.47870842,52590.6081,1.208223117
BBB,FL Key West,10 S,26.61582927,48440.29275,1.22593738
BBB,FL Key West,Pitch SW,28.47870842,51745.02603,1.227967078
BBB,FL Key West,Pitch SE,28.47870842,51438.5656,1.235283054
BBB,FL Tampa,Pitch S,1636.36151,2917978.714,1.251215686
BBB,FL Miami,Pitch S,1446.085528,2546367.129,1.267091579
BBB,FL Daytona Beach,Pitch S,1069.533716,1882945.239,1.267336183
BBB,FL Tampa,Pitch SE,1636.36151,2865469.831,1.274143842
BBB,FL Tampa,10 S,1529.322115,2671587.846,1.277216598
BBB,FL Key West,Flat,26.61582927,46341.66971,1.281455026
BBB,FL Tampa,Pitch SW,1636.36151,2848543.967,1.281714722
BBB,FL Miami,10 S,1351.492664,2344103.712,1.286387805
BBB,FL Miami,Pitch SE,1446.085528,2506226.88,1.28738558
BBB,FL Miami,Pitch SW,1446.085528,2499657.981,1.290768726
BBB,FL Daytona Beach,Pitch SE,1069.533716,1848741.682,1.290783161
BBB,FL Daytona Beach,10 S,999.5722549,1724523.054,1.293243287
BBB,FL Daytona Beach,Pitch SW,1069.533716,1838641.446,1.297873839
BBB,FL Tallahassee,Pitch S,253.0843711,432171.5879,1.306604529
BBB,FL West Palm Beach,Pitch S,748.9840612,1276468.708,1.309174227
BBB,AL Montgomery,Pitch S,33.25501172,56051.9792,1.323735443
BBB,FL West Palm Beach,10 S,699.99073,1173161.195,1.331280724
BBB,FL Tallahassee,10 S,236.5293507,396062.6106,1.332466313
BBB,FL West Palm Beach,Pitch SE,748.9840612,1252513.304,1.334213321
BBB,FL Tallahassee,Pitch SW,253.0843711,422979.9339,1.334997972
BBB,FL West Palm Beach,Pitch SW,748.9840612,1251371.79,1.335430404
BBB,FL Jacksonville,Pitch S,557.8722254,931470.1086,1.33629044
BBB,FL Tallahassee,Pitch SE,253.0843711,421816.0141,1.338681641
BBB,FL Miami,Flat,1351.492664,2248761.107,1.340927865
BBB,FL Tampa,Flat,1529.322115,2542725.458,1.34194446
BBB,AL Montgomery,10 S,31.07970001,51314.67195,1.351357653
BBB,AL Montgomery,Pitch SW,33.25501172,54820.68472,1.35346707
BBB,FL Daytona Beach,Flat,999.5722549,1643385.835,1.357093273
BBB,AL Montgomery,Pitch SE,33.25501172,54597.91496,1.35898947
BBB,FL Jacksonville,Pitch SE,557.8722254,913078.3468,1.363206789
BBB,FL Jacksonville,10 S,521.3801021,853001.824,1.36376499
BBB,FL Jacksonville,Pitch SW,557.8722254,909821.6892,1.368086314
BBB,AL Mobile,Pitch S,196.7239922,315694.8675,1.390352275
BBB,FL West Palm Beach,Flat,699.99073,1121851.54,1.392168954
BBB,FL Tallahassee,Flat,236.5293507,376566.7102,1.40145178
BBB,AL Mobile,Pitch SE,196.7239922,309175.8378,1.41966811
BBB,AL Mobile,10 S,183.855676,288826.3911,1.420284058
BBB,AL Montgomery,Flat,31.07970001,48737.73406,1.422808754
BBB,AL Mobile,Pitch SW,196.7239922,308131.8713,1.424478018
BBB,FL Jacksonville,Flat,521.3801021,811792.6899,1.432993963
BBB,AL Mobile,Flat,183.855676,274729.1265,1.493163554
CCC,TN Memphis,Pitch S,71.68696914,122211.9372,1.308764888
CCC,AR Fort Smith,Pitch S,2.191591842,3715.101877,1.31620638
CCC,TN Memphis,10 S,63.98568909,106211.9442,1.344140098
CCC,TN Memphis,Pitch SE,71.68696914,118916.5487,1.345033085
CCC,TN Memphis,Pitch SW,71.68696914,118722.2708,1.347234105
CCC,AR Fort Smith,10 S,1.956150691,3225.098445,1.353300915
CCC,AR Fort Smith,Pitch SE,2.191591842,3611.421745,1.353993285
CCC,AR Fort Smith,Pitch SW,2.191591842,3605.600439,1.356179331
CCC,MO Columbia,Pitch S,309.2336089,505404.7931,1.365156297
CCC,MO Springfield,Pitch S,363.6289184,592557.9317,1.369186608
CCC,MO Kansas City,Pitch S,524.7109188,845972.3451,1.383881742
CCC,NE Omaha,Pitch S,2.936733068,4676.181524,1.4012259
CCC,MO Springfield,Pitch SE,363.6289184,575788.3217,1.409063633
CCC,MO Columbia,Pitch SE,309.2336089,489609.6349,1.409197219
CCC,MO Columbia,10 S,276.0128625,436341.8087,1.411359132
CCC,MO Springfield,10 S,324.5645226,512914.7383,1.411857652
CCC,MO Columbia,Pitch SW,309.2336089,487810.202,1.414395462
CCC,MO Springfield,Pitch SW,363.6289184,573349.6753,1.415056848
CCC,MO St. Louis,Pitch S,903.0235025,1418147.231,1.420734009
CCC,TN Memphis,Flat,63.98568909,100091.062,1.426338478
CCC,MO Kansas City,Pitch SE,524.7109188,819834.826,1.428001892
CCC,MO Kansas City,10 S,468.3415984,729210.9408,1.432994759
CCC,IA Des Moines,Pitch S,9.993658799,15559.34532,1.433072765
CCC,MO Kansas City,Pitch SW,524.7109188,815020.3203,1.436437416
CCC,AR Fort Smith,Flat,1.956150691,3034.066173,1.438508071
CCC,NE Omaha,Pitch SE,2.936733068,4540.676911,1.443041818
CCC,NE Omaha,10 S,2.621241925,4014.314942,1.456903236
CCC,NE Omaha,Pitch SW,2.936733068,4482.808266,1.461670068
CCC,MO St. Louis,Pitch SE,903.0235025,1378097.898,1.462022403
CCC,MO St. Louis,10 S,806.0123306,1226804.896,1.465889485
CCC,MO St. Louis,Pitch SW,903.0235025,1370541.884,1.470082763
CCC,IA Des Moines,Pitch SE,9.993658799,15092.37212,1.47741348
CCC,IA Des Moines,10 S,8.920047149,13371.68137,1.488388051
CCC,IA Des Moines,Pitch SW,9.993658799,14940.32237,1.492449324
CCC,MO Springfield,Flat,324.5645226,480898.8625,1.505852176
CCC,IL Moline,Pitch S,2.564162455,3793.314294,1.508209783
CCC,MO Columbia,Flat,276.0128625,407542.4571,1.511094085
CCC,MO Kansas City,Flat,468.3415984,679836.0643,1.53706976
CCC,IL Moline,Pitch SE,2.564162455,3690.903867,1.550057637
CCC,IL Moline,10 S,2.288696308,3275.433256,1.559029953
CCC,IL Moline,Pitch SW,2.564162455,3658.637139,1.563728107
CCC,MO St. Louis,Flat,806.0123306,1149092.315,1.565026911
CCC,NE Omaha,Flat,2.621241925,3729.627916,1.568110428
CCC,IA Des Moines,Flat,8.920047149,12430.21994,1.601118151
CCC,IL Moline,Flat,2.288696308,3065.512804,1.665789341
